Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,Label,Src IP,Dst IP,JA3,Timestamp
53890,19,7,3583,158,Benign,185.143.223.12,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:27:40.690730
91606,14,16,2094,236,Benign,10.0.0.5,10.1.1.3,abcd1234ef567890,2026-02-21 19:27:45.690730
306840,4,16,8782,223,Benign,192.168.1.10,10.1.1.2,abcd1234ef567890,2026-02-21 19:27:50.690730
399457,13,1,1172,160,Benign,185.143.223.12,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:27:55.690730
191699,10,4,6807,201,Benign,185.143.223.12,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:28:00.690730
320936,18,4,315,49,Benign,192.168.1.20,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:28:05.690730
289931,8,7,7705,251,Benign,192.168.1.20,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:28:10.690730
289629,8,8,9884,147,Benign,192.168.1.10,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:28:15.690730
255041,7,17,2706,189,Benign,185.143.223.12,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:28:20.690730
224073,8,5,8450,209,Benign,192.168.1.20,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:28:25.690730
257624,14,7,4881,212,Benign,10.0.0.5,10.1.1.2,abcd1234ef567890,2026-02-21 19:28:30.690730
467113,19,4,3413,70,Benign,10.0.0.5,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:28:35.690730
118148,6,6,7863,201,Benign,185.143.223.12,10.1.1.2,abcd1234ef567890,2026-02-21 19:28:40.690730
302801,1,7,6039,14,Benign,192.168.1.20,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:28:45.690730
174243,15,18,2395,246,Benign,192.168.1.10,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:28:50.690730
301995,1,5,5785,190,Benign,192.168.1.10,10.1.1.1,abcd1234ef567890,2026-02-21 19:28:55.690730
432318,17,3,1796,46,Benign,192.168.1.10,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:29:00.690730
204555,1,7,2046,65,Benign,10.0.0.5,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:29:05.690730
436502,15,14,2883,246,Benign,192.168.1.20,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:29:10.690730
98555,2,7,3744,206,Benign,192.168.1.20,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:29:15.690730
306508,14,5,5341,82,Benign,10.0.0.5,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:29:20.690730
329303,8,5,6520,68,Benign,192.168.1.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:29:25.690730
422654,8,2,7657,249,Benign,192.168.1.10,10.1.1.1,abcd1234ef567890,2026-02-21 19:29:30.690730
156530,19,6,2745,11,Benign,185.143.223.12,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:29:35.690730
130077,7,15,6689,197,Benign,45.67.89.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:29:40.690730
348064,19,10,6453,39,Benign,192.168.1.20,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:29:45.690730
250551,6,7,2032,276,Benign,192.168.1.20,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:29:50.690730
331601,6,5,1857,117,Benign,192.168.1.20,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:29:55.690730
258261,3,1,5185,99,Benign,45.67.89.10,10.1.1.1,abcd1234ef567890,2026-02-21 19:30:00.690730
290181,7,13,5737,214,Benign,185.143.223.12,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:30:05.690730
391097,19,18,1216,229,Benign,45.67.89.10,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:30:10.690730
365139,8,13,592,103,Benign,192.168.1.10,10.1.1.1,abcd1234ef567890,2026-02-21 19:30:15.690730
221829,10,18,8911,112,Benign,192.168.1.10,10.1.1.2,abcd1234ef567890,2026-02-21 19:30:20.690730
321836,15,5,7988,232,Benign,192.168.1.20,10.1.1.3,abcd1234ef567890,2026-02-21 19:30:25.690730
488974,15,13,6574,195,Benign,10.0.0.5,10.1.1.2,abcd1234ef567890,2026-02-21 19:30:30.690730
252283,1,4,9838,193,Benign,192.168.1.20,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:30:35.690730
246769,7,17,5058,171,Benign,10.0.0.5,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:30:40.690730
87065,4,3,9897,256,Benign,45.67.89.10,10.1.1.3,abcd1234ef567890,2026-02-21 19:30:45.690730
273165,6,17,9567,40,Benign,192.168.1.10,10.1.1.2,abcd1234ef567890,2026-02-21 19:30:50.690730
149299,1,11,2843,61,Benign,10.0.0.5,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:30:55.690730
475822,5,4,7966,85,Benign,45.67.89.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:31:00.690730
61534,1,2,7260,287,Benign,192.168.1.10,10.1.1.2,abcd1234ef567890,2026-02-21 19:31:05.690730
90397,4,16,5551,49,Benign,10.0.0.5,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:31:10.690730
307750,2,18,5358,110,Benign,192.168.1.20,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:31:15.690730
403531,10,8,8648,120,Benign,192.168.1.20,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:31:20.690730
313160,5,3,7286,258,Benign,192.168.1.20,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:31:25.690730
105591,10,9,6202,200,Benign,45.67.89.10,10.1.1.3,abcd1234ef567890,2026-02-21 19:31:30.690730
270884,1,6,9161,191,Benign,192.168.1.20,10.1.1.2,abcd1234ef567890,2026-02-21 19:31:35.690730
73247,6,10,9177,218,Benign,185.143.223.12,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:31:40.690730
74300,13,10,9575,31,Benign,192.168.1.10,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:31:45.690730
132798,15,13,719,175,Benign,45.67.89.10,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:31:50.690730
59268,4,17,982,108,Benign,192.168.1.20,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:31:55.690730
398951,13,9,9088,217,Benign,192.168.1.10,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:32:00.690730
324329,15,17,3742,17,Benign,10.0.0.5,10.1.1.3,abcd1234ef567890,2026-02-21 19:32:05.690730
244776,8,9,1396,199,Benign,192.168.1.20,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:32:10.690730
267851,5,9,8536,184,Benign,192.168.1.10,10.1.1.1,abcd1234ef567890,2026-02-21 19:32:15.690730
482315,15,1,2995,282,Benign,185.143.223.12,10.1.1.2,abcd1234ef567890,2026-02-21 19:32:20.690730
451787,4,2,6693,26,Benign,10.0.0.5,10.1.1.1,abcd1234ef567890,2026-02-21 19:32:25.690730
286584,12,16,1029,99,Benign,185.143.223.12,10.1.1.2,abcd1234ef567890,2026-02-21 19:32:30.690730
88044,13,1,5466,150,Benign,192.168.1.10,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:32:35.690730
363358,2,10,8811,154,Benign,185.143.223.12,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:32:40.690730
426896,19,18,3312,175,Benign,192.168.1.10,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:32:45.690730
98984,19,8,2509,87,Benign,192.168.1.10,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:32:50.690730
352918,4,11,8299,271,Benign,185.143.223.12,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:32:55.690730
314712,4,2,3523,172,Benign,192.168.1.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:33:00.690730
170151,11,8,7076,23,Benign,192.168.1.20,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:33:05.690730
183767,5,8,7694,248,Benign,192.168.1.10,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:33:10.690730
174375,11,17,5258,81,Benign,45.67.89.10,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:33:15.690730
229262,10,15,3767,152,Benign,192.168.1.10,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:33:20.690730
186330,8,17,6073,292,Benign,45.67.89.10,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:33:25.690730
351648,6,13,6336,278,Benign,192.168.1.10,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:33:30.690730
214231,6,19,8377,250,Benign,192.168.1.10,10.1.1.3,abcd1234ef567890,2026-02-21 19:33:35.690730
63986,8,5,2568,254,Benign,185.143.223.12,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:33:40.690730
111858,15,12,6317,172,Benign,192.168.1.20,10.1.1.2,abcd1234ef567890,2026-02-21 19:33:45.690730
179312,14,1,3719,69,Benign,192.168.1.20,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:33:50.690730
62666,11,5,1736,15,Benign,10.0.0.5,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:33:55.690730
350804,12,8,8255,206,Benign,185.143.223.12,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:34:00.690730
184633,13,13,3683,67,Benign,185.143.223.12,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:34:05.690730
338998,8,8,4109,226,Benign,192.168.1.20,10.1.1.2,abcd1234ef567890,2026-02-21 19:34:10.690730
376649,18,11,3426,35,Benign,185.143.223.12,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:34:15.690730
154488,1,1,8248,14,Benign,192.168.1.20,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:34:20.690730
233323,15,13,2317,29,Benign,185.143.223.12,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:34:25.690730
334806,8,19,5067,207,Benign,192.168.1.10,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:34:30.690730
320536,11,3,2469,68,Benign,192.168.1.20,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:34:35.690730
80535,12,17,3738,251,Benign,192.168.1.20,10.1.1.2,abcd1234ef567890,2026-02-21 19:34:40.690730
425713,12,5,9235,155,Benign,45.67.89.10,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:34:45.690730
364400,4,8,5822,282,Benign,185.143.223.12,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:34:50.690730
401279,16,14,4544,258,Benign,185.143.223.12,10.1.1.1,abcd1234ef567890,2026-02-21 19:34:55.690730
439622,4,4,7718,23,Benign,192.168.1.20,10.1.1.2,abcd1234ef567890,2026-02-21 19:35:00.690730
347366,5,11,4047,22,Benign,192.168.1.10,10.1.1.3,abcd1234ef567890,2026-02-21 19:35:05.690730
127373,5,15,1776,53,Benign,192.168.1.10,10.1.1.2,abcd1234ef567890,2026-02-21 19:35:10.690730
173684,8,19,1296,28,Benign,192.168.1.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:35:15.690730
323109,10,7,2887,72,Benign,185.143.223.12,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:35:20.690730
74538,17,19,7532,248,Benign,45.67.89.10,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:35:25.690730
420210,9,19,9753,109,Benign,192.168.1.20,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:35:30.690730
251664,19,11,8027,172,Benign,10.0.0.5,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:35:35.690730
425396,14,5,3418,131,Benign,45.67.89.10,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:35:40.690730
189182,8,5,8958,53,Benign,10.0.0.5,10.1.1.2,abcd1234ef567890,2026-02-21 19:35:45.690730
208338,9,8,6789,154,Benign,45.67.89.10,10.1.1.2,abcd1234ef567890,2026-02-21 19:35:50.690730
234064,11,10,2276,59,Benign,192.168.1.10,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:35:55.690730
264020,1,6,3843,74,Benign,185.143.223.12,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:36:00.690730
148806,14,15,8892,297,Benign,10.0.0.5,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:36:05.690730
450126,5,16,4522,173,Benign,45.67.89.10,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:36:10.690730
423133,14,17,3924,150,Benign,185.143.223.12,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:36:15.690730
140982,4,8,9271,137,Benign,10.0.0.5,10.1.1.3,abcd1234ef567890,2026-02-21 19:36:20.690730
171626,1,8,2551,248,Benign,192.168.1.20,10.1.1.2,abcd1234ef567890,2026-02-21 19:36:25.690730
169176,19,9,728,196,Benign,45.67.89.10,10.1.1.2,abcd1234ef567890,2026-02-21 19:36:30.690730
443422,8,2,9921,217,Benign,192.168.1.20,10.1.1.3,abcd1234ef567890,2026-02-21 19:36:35.690730
268126,15,15,7878,229,Benign,192.168.1.10,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:36:40.690730
268969,15,18,3796,199,Benign,192.168.1.20,10.1.1.1,abcd1234ef567890,2026-02-21 19:36:45.690730
172409,9,3,3774,293,Benign,192.168.1.20,10.1.1.2,abcd1234ef567890,2026-02-21 19:36:50.690730
73419,9,17,4029,246,Benign,45.67.89.10,10.1.1.2,abcd1234ef567890,2026-02-21 19:36:55.690730
493852,10,4,2865,203,Benign,192.168.1.10,10.1.1.1,abcd1234ef567890,2026-02-21 19:37:00.690730
303618,9,4,4469,296,Benign,192.168.1.20,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:37:05.690730
295310,3,14,8407,268,Benign,185.143.223.12,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:37:10.690730
100015,11,9,5056,255,Benign,10.0.0.5,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:37:15.690730
298550,6,9,792,145,Benign,192.168.1.20,10.1.1.1,abcd1234ef567890,2026-02-21 19:37:20.690730
172096,2,18,3262,289,Benign,192.168.1.10,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:37:25.690730
157059,7,10,1205,280,Benign,192.168.1.20,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:37:30.690730
235340,18,4,3108,180,Benign,10.0.0.5,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:37:35.690730
160687,2,12,2261,168,Benign,192.168.1.10,10.1.1.3,abcd1234ef567890,2026-02-21 19:37:40.690730
400083,17,8,8445,210,Benign,45.67.89.10,10.1.1.3,abcd1234ef567890,2026-02-21 19:37:45.690730
461357,11,2,3799,54,Benign,192.168.1.10,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:37:50.690730
261428,12,13,3886,273,Benign,45.67.89.10,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:37:55.690730
155878,19,16,9356,80,Benign,192.168.1.10,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:38:00.690730
252982,7,2,4300,112,Benign,10.0.0.5,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:38:05.690730
499260,6,11,2013,134,Benign,10.0.0.5,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:38:10.690730
248286,1,10,9508,295,Benign,192.168.1.10,10.1.1.3,abcd1234ef567890,2026-02-21 19:38:15.690730
299002,17,15,5620,239,Benign,192.168.1.20,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:38:20.690730
300396,11,17,1872,155,Benign,10.0.0.5,10.1.1.2,abcd1234ef567890,2026-02-21 19:38:25.690730
214899,18,8,2880,206,Benign,45.67.89.10,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:38:30.690730
499036,17,18,7523,230,Benign,45.67.89.10,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:38:35.690730
374767,7,9,2971,69,Benign,185.143.223.12,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:38:40.690730
387594,17,8,760,107,Benign,45.67.89.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:38:45.690730
405570,9,14,6342,180,Benign,185.143.223.12,10.1.1.3,abcd1234ef567890,2026-02-21 19:38:50.690730
429989,17,18,1232,182,Benign,192.168.1.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:38:55.690730
465515,8,12,799,160,Benign,192.168.1.10,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:39:00.690730
93585,17,19,7570,131,Benign,192.168.1.10,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:39:05.690730
421369,7,14,6397,117,Benign,192.168.1.20,10.1.1.3,abcd1234ef567890,2026-02-21 19:39:10.690730
114044,1,17,7912,13,Benign,192.168.1.20,10.1.1.3,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:39:15.690730
485773,13,3,4657,102,Benign,185.143.223.12,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:39:20.690730
492296,19,7,2279,15,Benign,45.67.89.10,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:39:25.690730
159556,19,17,9165,297,Benign,45.67.89.10,10.1.1.1,abcd1234ef567890,2026-02-21 19:39:30.690730
52693,17,12,8375,115,Benign,192.168.1.10,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:39:35.690730
407403,13,9,1522,155,Benign,10.0.0.5,10.1.1.1,abcd1234ef567890,2026-02-21 19:39:40.690730
293307,16,15,3280,280,Benign,192.168.1.20,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:39:45.690730
250235,8,18,4416,105,Benign,192.168.1.20,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:39:50.690730
75939,19,13,6796,238,Benign,192.168.1.10,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:39:55.690730
492141,18,8,9683,211,Benign,192.168.1.20,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:40:00.690730
486157,1,14,714,221,Benign,192.168.1.10,10.1.1.2,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:40:05.690730
202906,14,8,4670,15,Benign,185.143.223.12,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:40:10.690730
68047,19,14,370,121,Benign,45.67.89.10,10.1.1.1,a0e9f5d64349fb13191bc781f81f42e1,2026-02-21 19:40:15.690730
338249,15,7,2568,115,Benign,10.0.0.5,10.1.1.1,72a589da586844d7f0818ce684948eea,2026-02-21 19:40:20.690730
125766,18,12,9682,148,Benign,45.67.89.10,10.1.1.3,abcd1234ef567890,2026-02-21 19:40:25.690730
458923,2,11,3707,105,Benign,45.67.89.10,10.1.1.3,abcd1234ef567890,2026-02-21 19:40:30.690730
465192,17,11,3175,223,Benign,185.143.223.12,10.1.1.1,abcd1234ef567890,2026-02-21 19:40:35.690730
94262,18,13,389,31,Benign,192.168.1.20,10.1.1.3,72a589da586844d7f0818ce684948eea,2026-02-21 19:40:40.690730
437261,6,18,8220,202,Benign,10.0.0.5,10.1.1.2,72a589da586844d7f0818ce684948eea,2026-02-21 19:40:45.690730
